launch_time,title,vehicle,launch_site,return_site,mission_type,status,return_time,link
2025-12-01T21:28:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-10
2025-12-02T16:18:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-95
2025-12-04T15:42:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-25
2025-12-07T09:58:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-15
2025-12-08T17:26:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-6-92
2025-12-09T14:16:00Z,NROL-77 Mission,Falcon 9,"SLC-40, Florida",Landing Zone,nssl,final,,nrol77
2025-12-10T03:40:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-11
2025-12-11T17:01:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-90
2025-12-13T21:49:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-12
2025-12-15T00:25:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-82
2025-12-17T07:27:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-15-13
2025-12-17T07:42:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-6-99
2026-01-02T18:08:00Z,COSMO-SkyMed Second Generation Mission,Falcon 9,"SLC-4E, California",Landing Zone,commercialSatellite,final,,cosmo-skymedfm3
2026-01-04T01:48:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-88
2026-01-09T16:41:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-96
